Linear,Digital,Overlap
0,0,0
0,806,0
0,1613,0
0,2419,0
0,3226,0
0,4032,0
0,4839,0
0,5645,0
0,6452,0
0,7258,0
0,8065,0
0,8872,0
0,9678,0
0,10485,0
0,11291,0
0,12098,0
0,12904,0
0,13711,0
0,14517,0
0,15324,0
0,16131,0
0,16937,0
0,17744,0
0,18550,0
0,19357,0
0,20163,0
0,20970,0
0,21776,0
0,22583,0
0,23389,0
0,24196,0
0,25003,0
0,25809,0
0,26616,0
0,27422,0
0,28229,0
0,29035,0
0,29842,0
0,30648,0
0,31455,0
0,32262,0
0,33068,0
0,33875,0
0,34681,0
0,35488,0
0,36294,0
0,37101,0
0,37907,0
0,38714,0
0,39520,0
0,40327,0
0,41134,0
0,41940,0
0,42747,0
0,43553,0
0,44360,0
0,45166,0
0,45973,0
0,46779,0
0,47586,0
0,48393,0
0,49199,0
0,50006,0
0,50812,0
0,51619,0
0,52425,0
0,53232,0
0,54038,0
0,54845,0
0,55651,0
0,56458,0
0,57265,0
0,58071,0
0,58878,0
0,59684,0
0,60491,0
0,61297,0
0,62104,0
0,62910,0
0,63717,0
0,64524,0
0,65330,0
0,66137,0
0,66943,0
0,67750,0
0,68556,0
0,69363,0
0,70169,0
0,70976,0
0,71782,0
0,72589,0
0,73396,0
0,74202,0
0,75009,0
0,75815,0
0,76622,0
0,77428,0
0,78235,0
0,79041,0
0,79848,0
0,80655,0
2016,0,0
2016,806,0
2016,1613,2
2016,2419,2
2016,3226,4
2016,4032,5
2016,4839,5
2016,5645,5
2016,6452,7
2016,7258,9
2016,8065,9
2016,8872,10
2016,9678,10
2016,10485,11
2016,11291,13
2016,12098,13
2016,12904,13
2016,13711,14
2016,14517,14
2016,15324,14
2016,16131,15
2016,16937,15
2016,17744,15
2016,18550,16
2016,19357,17
2016,20163,17
2016,20970,17
2016,21776,19
2016,22583,19
2016,23389,19
2016,24196,19
2016,25003,19
2016,25809,19
2016,26616,19
2016,27422,20
2016,28229,20
2016,29035,20
2016,29842,20
2016,30648,21
2016,31455,22
2016,32262,22
2016,33068,22
2016,33875,23
2016,34681,23
2016,35488,24
2016,36294,25
2016,37101,25
2016,37907,25
2016,38714,25
2016,39520,27
2016,40327,28
2016,41134,29
2016,41940,30
2016,42747,31
2016,43553,32
2016,44360,32
2016,45166,33
2016,45973,33
2016,46779,33
2016,47586,33
2016,48393,33
2016,49199,33
2016,50006,33
2016,50812,33
2016,51619,33
2016,52425,34
2016,53232,34
2016,54038,34
2016,54845,35
2016,55651,35
2016,56458,35
2016,57265,35
2016,58071,35
2016,58878,35
2016,59684,36
2016,60491,36
2016,61297,36
2016,62104,36
2016,62910,36
2016,63717,37
2016,64524,37
2016,65330,40
2016,66137,41
2016,66943,42
2016,67750,42
2016,68556,43
2016,69363,43
2016,70169,44
2016,70976,44
2016,71782,44
2016,72589,44
2016,73396,45
2016,74202,48
2016,75009,49
2016,75815,50
2016,76622,50
2016,77428,52
2016,78235,52
2016,79041,52
2016,79848,52
2016,80655,53
4032,0,0
4032,806,0
4032,1613,3
4032,2419,4
4032,3226,7
4032,4032,8
4032,4839,8
4032,5645,8
4032,6452,11
4032,7258,13
4032,8065,14
4032,8872,16
4032,9678,16
4032,10485,17
4032,11291,19
4032,12098,19
4032,12904,21
4032,13711,22
4032,14517,24
4032,15324,24
4032,16131,25
4032,16937,25
4032,17744,25
4032,18550,26
4032,19357,27
4032,20163,27
4032,20970,27
4032,21776,31
4032,22583,31
4032,23389,31
4032,24196,31
4032,25003,33
4032,25809,34
4032,26616,34
4032,27422,36
4032,28229,36
4032,29035,37
4032,29842,39
4032,30648,42
4032,31455,44
4032,32262,45
4032,33068,46
4032,33875,48
4032,34681,48
4032,35488,50
4032,36294,52
4032,37101,52
4032,37907,53
4032,38714,53
4032,39520,55
4032,40327,56
4032,41134,58
4032,41940,59
4032,42747,60
4032,43553,63
4032,44360,63
4032,45166,64
4032,45973,64
4032,46779,64
4032,47586,65
4032,48393,66
4032,49199,66
4032,50006,66
4032,50812,66
4032,51619,66
4032,52425,67
4032,53232,68
4032,54038,68
4032,54845,69
4032,55651,69
4032,56458,69
4032,57265,69
4032,58071,71
4032,58878,71
4032,59684,73
4032,60491,73
4032,61297,74
4032,62104,74
4032,62910,77
4032,63717,78
4032,64524,79
4032,65330,83
4032,66137,85
4032,66943,86
4032,67750,86
4032,68556,87
4032,69363,87
4032,70169,88
4032,70976,88
4032,71782,89
4032,72589,90
4032,73396,92
4032,74202,95
4032,75009,97
4032,75815,98
4032,76622,98
4032,77428,100
4032,78235,101
4032,79041,103
4032,79848,104
4032,80655,105
6049,0,0
6049,806,0
6049,1613,3
6049,2419,4
6049,3226,7
6049,4032,8
6049,4839,8
6049,5645,9
6049,6452,12
6049,7258,15
6049,8065,18
6049,8872,20
6049,9678,21
6049,10485,22
6049,11291,24
6049,12098,25
6049,12904,27
6049,13711,28
6049,14517,32
6049,15324,32
6049,16131,33
6049,16937,33
6049,17744,33
6049,18550,34
6049,19357,35
6049,20163,35
6049,20970,36
6049,21776,40
6049,22583,40
6049,23389,40
6049,24196,40
6049,25003,42
6049,25809,43
6049,26616,43
6049,27422,47
6049,28229,49
6049,29035,50
6049,29842,53
6049,30648,57
6049,31455,59
6049,32262,60
6049,33068,63
6049,33875,65
6049,34681,66
6049,35488,70
6049,36294,73
6049,37101,73
6049,37907,75
6049,38714,75
6049,39520,78
6049,40327,80
6049,41134,82
6049,41940,83
6049,42747,85
6049,43553,90
6049,44360,90
6049,45166,92
6049,45973,92
6049,46779,93
6049,47586,94
6049,48393,97
6049,49199,99
6049,50006,100
6049,50812,100
6049,51619,100
6049,52425,101
6049,53232,102
6049,54038,103
6049,54845,104
6049,55651,106
6049,56458,106
6049,57265,106
6049,58071,108
6049,58878,109
6049,59684,112
6049,60491,115
6049,61297,117
6049,62104,119
6049,62910,122
